,Titles,Platform,Format,Playing Status,Owned Status,hltbTitle,hltbURL,titleMatch
225,Hitman: Blood Money HD,PS3,Digital,Beaten,Own,,,
226,Hitman 2: Silent Assassin HD,PS3,Digital,Not Played,Own,,,
227,Hitman: Contracts HD,PS3,Digital,Not Played,Own,,,
228,Deus Ex: Human Revolution,PS3,Digital,Beaten,Own,,,
229,Dragon's Dogma: Dark Arisen,PS3,Digital,Not Played,Own,,,
230,DuctTales: Remastered,PS3,Digital,Not Played,Own,,,
231,Dungeons & Dragons: Chronicles of Mystara,PS3,Digital,Not Played,Own,,,
232,Street Fighter X Tekken,PS3/PS Vita,Digital,Not Played,Own,,,
233,Darkstalkers Chronicle: The Chaos Tower,PS3/PS Vita,Digital,Not Played,Own,,,
234,Mega Man Maverick Hunter X,PS3/PS Vita,Digital,Not Played,Own,,,
235,Monster Hunter Freedom Unite,PS3/PS Vita,Digital,Not Played,Own,,,
236,Renegade Ops,PS3,Digital,Not Played,Own,,,
237,Sonic the Hedgehog,PS3,Digital,Not Played,Own,,,
238,Sonic the Hedgehog 2,PS3,Digital,Not Played,Own,,,
239,Virtua Fighter 5,PS3,Digital,Not Played,Own,,,
240,The Cave,PS3,Digital,Not Played,Own,,,
241,Binary Domain,PS3,Digital,Not Played,Own,,,
242,Castle of Illusion Starring Mickey Mouse,PS3,Digital,Not Played,Own,,,
243,Yakuza 4,PS3,Digital,Not Played,Own,,,
244,Sonic & All-Stars Racing Transformed,PS3/PS Vita,Digital,Not Played,Own,,,
245,Jet Set Radio,PS3/PS Vita,Digital,Not Played,Own,,,
246,GODS EATER BURST,PS3/PS Vita,Digital,Not Played,Own,,,
247,METAL SLUG XX,PS3/PS Vita,Digital,Not Played,Own,,,
248,Galaga Legions DX,PS3/PS Vita,Digital,Not Played,Own,,,
249,Anomaly Warzone Earth,PS3,Digital,Not Played,Own,,,
250,Tekken 6,PS3/PS Vita,Digital,Not Played,Own,,,
251,SOULCALIBUR: Broken Destiny,PS3/PS Vita,Digital,Not Played,Own,,,
252,Dokuro,PS3/PS Vita,Digital,Not Played,Own,,,
253,BioShock 2,PS3,Digital,Not Played,Own,,,
254,Spec Ops: The Line,PS3,Digital,Beaten,Own,,,
255,Borderlands 2,PS3,Digital,Not Played,Own,,,
256,XCOM: Enemy Unknown,PS3,Digital,Not Played,Own,,,
257,BioShock Infinite,PS3,Digital,Complete,Own,,,
258,NBA 2K14,PS3,Digital,Not Played,Own,,,
259,Dishonored,PS3,Digital,Not Played,Own,,,
260,Grand Theft Auto: Liberty City Stories,PS3/PS Vita,Digital,Not Played,Own,,,
261,"Warhammer 40,000: Space Marine",PS3,Digital,Not Played,Own,,,
262,Saints Row 2,PS3,Digital,Not Played,Own,,,
263,Darksiders,PS3,Digital,Not Played,Own,,,
264,Saints Row: The Third,PS3,Digital,Not Played,Own,,,
265,Double Dragon Neon,PS3,Digital,Not Played,Own,,,
266,Batman: Arkham City,PS3,Digital,Beaten,Own,,,
267,Gotham City Imposters,PS3,Digital,Not Played,Own,,,
268,Guardians of Middle-Earth,PS3,Digital,Not Played,Own,,,
269,Batman: Arkham Asylum,PS3,Digital,Beaten,Own,,,
270,BIT.TRIP Presents: Runner2: Future Rythym Alien,PS3,Digital,Not Played,Own,,,
271,BlaxBlue: Continuum Shift EXTEND,PS3/PS Vita,Digital,Not Played,Own,,,
272,Zero Escape: Virtue's Last Reward,PS3/PS Vita,Digital,Not Played,Own,,,
273,Muramasa Rebirth,PS3/PS Vita,Digital,Not Played,Own,,,
274,Disgaea 3: Absence of Detention,PS3/PS Vita,Digital,Not Played,Own,,,
275,Rainbow Moon,PS3/PS Vita,Digital,Not Played,Own,,,
276,Choplifter HD,PS3,Digital,Not Played,Own,,,
277,Skullgirls Encore,PS3,Digital,Not Played,Own,,,
278,Joe Danger 2: The Movie,PS3,Digital,Not Played,Own,,,
279,Tales From Space: Mutant Blobs Attack,PS3,Digital,Not Played,Own,,,
280,HOARD,PS3,Digital,Not Played,Own,,,
281,Metro: Last Light,PS3,Digital,Beaten,Own,,,
282,Dungeon Defenders,PS3,Digital,Not Played,Own,,,
283,Papo & Yo,PS3,Digital,Not Played,Own,,,
284,Pinball Arcade,PS3/PS Vita,Digital,Not Played,Own,,,
285,Closure,PS3,Digital,Not Played,Own,,,
286,Knytt Underground,PS3/PS Vita,Digital,Not Played,Own,,,
287,Dyad,PS3,Digital,Not Played,Own,,,
288,Retro City Rampage,PS3/PS Vita,Digital,Not Played,Own,,,
289,Urban Trial Freestyle,PS3/PS Vita,Digital,Not Played,Own,,,
290,Mutant Mudds Deluxe,PS3/PS Vita,Digital,Not Played,Own,,,
291,Hyper Void,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
292,Vessel,PS3,Digital,Not Played,Own,,,
293,Metrico,PS3/PS Vita,Digital,Not Played,Own,,,
294,Woah Dave!,PS3/PS Vita,Digital,Not Played,Own,,,
295,inFAMOUS First Light,PS4,Digital,Not Played,Own,,,
296,LUFTRAUSERS,PS3/PS Vita,Digital,Not Played,Own,,,
297,Duke Nukem 3D: Megaton Edition,PS3,Digital,Not Played,Own,,,
298,GRID 2,PS3,Digital,Not Played,Own,,,
299,Deadly Premonition: The Director's Cut,PS3,Digital,Not Played,Own,,,
300,Brothers: a Tale of Two Sons,PS3,Digital,Not Played,Own,,,
301,La-Mulana Ex,PS3/PS Vita,Digital,Not Played,Own,,,
302,PAYDAY 2,PS3,Digital,Not Played,Own,,,
303,Terraria,PS3/PS Vita,Digital,Not Played,Own,,,
304,KickBeat,PS3,Digital,Not Played,Own,,,
305,Zen Pinball 2,PS3,Digital,Not Played,Own,,,
306,Worms: Battle Islands,PS3/PS Vita,Digital,Not Played,Own,,,
307,Labyrinth Legends,PS3,Digital,Not Played,Own,,,
308,Germinator,PS3/PS Vita,Digital,Not Played,Own,,,
309,ModNation Racers: Road Trip,PS3/PS Vita,Digital,Not Played,Own,,,
310,Sine Mora,PS3/PS Vita,Digital,Not Played,Own,,,
311,Final Horizon,PS3/PS Vita,Digital,Not Played,Own,,,
312,Foosball 2012,PS3/PS Vita,Digital,Not Played,Own,,,
313,Velocity2X,PS3/PS Vita,Digital,Not Played,Own,,,
314,Surge Deluxe,PS3/PS Vita,Digital,Not Played,Own,,,
315,Velocity Ultra,PS3/PS Vita,Digital,Not Played,Own,,,
316,Oddworld: Stranger's Wrath HD,PS Vita,Digital,Not Played,Own,,,
317,Oddworld: Munch's Oddysee HD,PS3,Digital,Not Played,Own,,,
318,Sherlock Holmes: Crimes and Punishments,PS3,Digital,Not Played,Own,,,
319,Kung Fu Rabbit,PS3/PS Vita,Digital,Not Played,Own,,,
320,Ninja Gaiden Sigma Plus,PS3/PS Vita,Digital,Not Played,Own,,,
321,Zombie Tycoon II: Brainhov's Revenge,PS3/PS Vita,Digital,Not Played,Own,,,
322,Chariot,PS3,Digital,Not Played,Own,,,
323,Chronovolt,PS3/PS Vita,Digital,Not Played,Own,,,
324,inFAMOUS Second Son,PS4,Digital,Not Played,Own,,,
325,Hot Shots Golf 2,PS3/PS Vita,Digital,Not Played,Own,,,
326,Puppeteer,PS3,Digital,Not Played,Own,,,
327,Uncharted 3: Drake's Deception,PS3,Digital,Beaten,Own,,,
328,LittleBigPlanet Karting,PS3,Digital,Not Played,Own,,,
329,Starhawk,PS3,Digital,Not Played,Own,,,
330,Malicious,PS3,Digital,Not Played,Own,,,
331,rain,PS3,Digital,Not Played,Own,,,
332,Ratchet & Clank: All 4 One,PS3,Digital,Not Played,Own,,,
333,Shadow of the Colossus,PS3,Digital,Not Played,Own,,,
334,ICO,PS3,Digital,Not Played,Own,,,
335,LittleBigPlanet 2,PS3,Digital,Not Played,Own,,,
336,Playstation All-Stars Battle Royale,PS3/PS Vita,Digital,Not Played,Own,,,
337,Infinity Runner,PS4,Digital,Not Played,Own,,,
338,"Invisble, Inc. Console Edition",PS4,Digital,Not Played,Own,,,
339,Journey,PS4/PS3,Digital,Beaten,Own,,,
340,Just Cause 3,PS4,Digital,Not Played,Own,,,
341,Killing Floor 2,PS4,Digital,Not Played,Own,,,
342,King's Quest,PS4,Digital,Not Played,Own,,,
343,Kung Fu Panda Showdown of Legendary Legends,PS4,Digital,Not Played,Own,,,
344,Lara Croft and the Temple of Osiris,PS4,Digital,Played,Own,,,
345,LASER DISCO DEFENDERS,PS4,Digital,Not Played,Own,,,
346,Letter Quest Remastered,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
347,Bayonetta,PS3,Digital,Not Played,Own,,,
348,Life is Strange,PS4,Digital,Not Played,Own,,,
349,Limbo,PS4/PS3/PS Vita,Digital,Beaten,Own,,,
350,Lords of the Fallen,PS4,Digital,Not Played,Own,,,
351,Lovers in a Dangerous Spacetime,PS4,Digital,Not Played,Own,,,
352,Madden 17,PS4,Blu Ray,Playing,Own,,,
353,MAGICKA 2,PS4,Digital,Not Played,Own,,,
354,Mercenary Kings,PS4,Digital,Not Played,Own,,,
355,Metal Gear Solid V: Ground Zeroes,PS4,Digital,Beaten,Own,,,
356,Metal Gear Solid V: The Phantom Pain,PS4,Digital,Beaten,Own,,,
357,Metro Redux,PS4,Blu Ray,Played,Own,,,
358,MLB The Show 15,PS4,Blu Ray,Played,Own,,,
359,MouseCraft,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
360,Neon Chrome,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
361,Never Alone,PS4,Digital,Not Played,Own,,,
362,Neverwinter,PS4,Digital,Not Played,Own,,,
363,NHL 17,PS4,Blu Ray,Playing,Own,,,
364,Nioh,PS4,Blu Ray,Not Played,Sold,,,
365,Nom Nom Galaxy,PS4,Digital,Not Played,Own,,,
366,Nova-111,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
367,Oddworld: New 'n' Tasty,PS4/PS3,Digital,Not Played,Own,,,
368,OlliOlli2: Welcome to Olliwood,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
369,Outlast,PS4,Digital,Not Played,Own,,,
370,Paragon,PS4,Digital,Not Played,Own,,,
371,Pix the Cat,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
372,Plants vs Zombies Garden Warfare,PS4,Digital,Not Played,Own,,,
373,Pumped BMX +,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
374,Race The Sun,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
375,Rebel Galaxy,PS4,Digital,Not Played,Own,,,
376,Resident Evil,PS4,Digital,Not Played,Own,,,
377,RESOGUN,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
378,Freedom Wars,PS3/PS Vita,Digital,Not Played,Own,,,
379,MotorStorm Apocalypse,PS3,Digital,Not Played,Own,,,
380,Don't Starve: Giant Edition,PS3/PS Vita,Digital,Played,Own,,,
381,RIGS Mechanized Combat League,PS4,Digital,Not Played,Own,,,
382,Fat Princess: Piece of Cake,PS3/PS Vita,Digital,Not Played,Own,,,
383,Persona 4 Golden,PS3/PS Vita,Digital,Not Played,Own,,,
384,Road Not Taken,PS4,Digital,Not Played,Own,,,
385,Need for Speed Most Wanted,PS3/PS Vita,Digital,Not Played,Own,,,
386,Rocket League,PS4,Digital,Played,Own,,,
387,Mirror's Edge,PS3,Digital,Not Played,Own,,,
388,SSX,PS3,Digital,Not Played,Own,,,
389,Deathmatch Village,PS3/PS Vita,Digital,Not Played,Own,,,
390,Syphon Filter,PS3/PS Vita,Digital,Not Played,Own,,,
391,Syphon Filter 2,PS3/PS Vita,Digital,Not Played,Own,,,
392,Legend of Dragoon,PS3/PS Vita,Digital,Not Played,Own,,,
393,Syphon Filter 3,PS3/PS Vita,Digital,Not Played,Own,,,
394,Dino Crisis,PS3/PS Vita,Digital,Beaten,Own,,,
395,Dino Crisis 2,PS3/PS Vita,Digital,Beaten,Own,,,
396,Rogue Legacy,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
397,WipEout 2048 HD Fury,PS3/PS Vita,Digital,Not Played,Own,,,
398,Saints Row: Gat Out of Hell,PS4,Digital,Not Played,Own,,,
399,Destruction Derby,PS3/PS Vita,Digital,Not Played,Own,,,
400,Warkhawk,PS3/PS Vita,Digital,Not Played,Own,,,
401,Twisted Metal (Original),PS3/PS Vita,Digital,Not Played,Own,,,
402,Resident Evil Director's Cut,PS3/PS Vita,Digital,Not Played,Own,,,
403,Siren Blood Curse,PS3,Digital,Not Played,Own,,,
404,Valhalla Knights,PS3/PS Vita,Digital,Not Played,Own,,,
405,Red Dead Redemption Undead Nightmare,PS3,Digital,Not Played,Own,,,
406,Patchwork Heroes,PS3/PS Vita,Digital,Not Played,Own,,,
407,Piyotama,PS3/PS Vita,Digital,Not Played,Own,,,
408,Patapon,PS3/PS Vita,Digital,Not Played,Own,,,
